from_bus,to_bus,resistance_pu,reactance_pu,rating_kva
0,6,0.003,0.01,400.0
0,7,0.003,0.01,400.0
1,6,0.003,0.01,400.0
1,7,0.003,0.01,400.0
2,6,0.006,0.02,150.0
3,7,0.006,0.02,150.0
4,6,0.009,0.03,100.0
5,7,0.009,0.03,100.0
6,7,0.012,0.04,150.0
6,8,0.009,0.03,120.0
7,8,0.009,0.03,120.0
6,9,0.009,0.03,120.0
7,9,0.009,0.03,120.0
6,10,0.009,0.03,200.0
7,10,0.009,0.03,200.0
6,11,0.009,0.03,120.0
7,11,0.009,0.03,120.0
6,12,0.006,0.02,300.0
7,12,0.006,0.02,300.0
6,13,0.006,0.02,300.0
7,13,0.006,0.02,300.0
